Item,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Premium McWrap Chicken Sweet Chili (Crispy Chicken),540,200,23,35,4.5,23,0,50,16,1260,52,61,20,3,13,14,23,60,15,8,20
Premium McWrap Chicken Sweet Chili (Grilled Chicken),380,90,10,15,3,14,0,65,22,1090,45,47,16,3,13,12,27,60,15,8,20
Chicken McNuggets (4 piece),190,110,12,18,2,10,0,25,9,360,15,12,4,1,2,0,9,0,2,0,2
Chicken McNuggets (6 piece),280,160,18,27,3,15,0,40,13,540,22,18,6,1,4,0,13,0,2,2,4
Chicken McNuggets (10 piece),470,270,30,45,5,25,0,65,22,900,37,30,10,2,6,0,22,0,4,2,6
Chicken McNuggets (20 piece),940,530,59,91,10,50,0,135,44,1800,75,59,20,3,12,0,44,0,8,4,10
Chicken McNuggets (40 piece),1880,1060,118,182,20,101,1,265,89,3600,150,118,39,6,24,1,87,0,15,8,25
Filet-O-Fish,390,170,19,29,4,19,0,40,14,590,24,39,13,2,7,5,15,2,0,15,10
Premium Bacon Ranch Salad (without Chicken),140,70,7,11,3.5,18,0,25,9,300,13,10,3,3,12,4,9,170,30,15,6
Premium Bacon Ranch Salad with Crispy Chicken,380,190,21,33,6,29,0,70,23,860,36,22,7,2,10,5,25,100,25,15,8
Premium Bacon Ranch Salad with Grilled Chicken,220,80,8,13,4,20,0,85,29,690,29,8,3,2,10,4,29,110,30,15,8
Premium Southwest Salad (without Chicken),140,40,4.5,7,2,9,0,10,3,150,6,20,7,6,23,6,6,160,25,15,10
Premium Southwest Salad with Crispy Chicken,450,190,22,33,4.5,22,0,50,17,850,35,42,14,7,28,12,23,170,30,15,15
Premium Southwest Salad with Grilled Chicken,290,80,8,13,2.5,13,0,70,23,680,28,28,9,7,28,10,27,170,30,15,15
Chipotle BBQ Snack Wrap (Crispy Chicken),340,130,15,23,4.5,22,0,30,11,780,33,37,12,1,6,8,14,4,0,10,10
Chipotle BBQ Snack Wrap (Grilled Chicken),260,70,8,13,3.5,18,0,40,14,700,29,30,10,1,6,7,16,4,2,10,10
Honey Mustard Snack Wrap (Crispy Chicken),330,130,15,23,4.5,22,0,35,11,730,30,34,11,1,5,3,14,2,0,10,10
Honey Mustard Snack Wrap (Grilled Chicken),250,70,8,13,3.5,18,0,45,14,650,27,27,9,1,5,2,16,2,2,10,10
